file;revisions;refactorings;bugfixes;authors;locAdded;locRemoved;maxLocAdded;maxLocRemoved;avgLocAdded;avgLogRemoved;codeChurn;maxChangeset;avgChangeset;firstCommit;lastCommit;weeks
flume-ng-core/src/test/java/org/apache/flume/interceptor/TestSearchAndReplaceInterceptor.java;4;0;0;3;186;1;87;1;46.5;0.25;187;141;38.25;2014-07-23;2016-06-30;101
flume-ng-channels/flume-file-channel/src/main/java/org/apache/flume/channel/file/EventQueueBackingStoreFileV2.java;6;0;0;3;206;4;101;1;34.333333333333336;0.6666666666666666;210;244;57.5;2012-09-07;2016-06-26;198
flume-core/src/main/java/com/cloudera/util/ArrayUtils.java;2;0;0;2;92;0;46;0;46.0;0.0;92;754;382.0;2011-08-02;2012-07-08;48
flume-core/src/test/java/com/cloudera/flume/util/TestShellRPCThrift.java;3;0;0;2;206;0;103;0;68.66666666666667;0.0;206;754;476.3333333333333;2011-08-02;2012-07-08;48
flume-ng-sinks/flume-ng-hbase-sink/src/test/java/org/apache/flume/sink/hbase/IncrementHBaseSerializer.java;4;0;0;1;320;0;80;0;80.0;0.0;320;5;5.0;2014-03-03;2014-03-03;0
flume-ng-core/src/main/java/org/apache/flume/durability/WALManager.java;1;0;0;1;7;0;7;0;7.0;0.0;7;9;9.0;2011-08-23;2011-08-23;0
flume-core/src/main/java/com/cloudera/flume/core/InterruptSinks.java;2;0;0;2;116;0;58;0;58.0;0.0;116;754;381.0;2011-08-02;2012-07-08;48
flume-ng-core/src/test/java/org/apache/flume/durability/file/TestFileBasedWALWriter.java;4;0;1;1;68;14;60;12;17.0;3.5;82;9;5.0;2011-08-23;2011-08-25;0
flume-core/src/test/java/com/cloudera/flume/master/logical/TestLogicalConfigManager.java;9;0;2;2;1748;102;823;75;194.22222222222223;11.333333333333334;1850;754;232.66666666666666;2011-08-02;2012-07-08;48
flume-core/src/test/java/com/cloudera/flume/core/extractors/TestExtractors.java;7;0;0;3;331;7;162;4;47.285714285714285;1.0;338;754;300.0;2011-08-02;2012-07-08;48
flume-ng-node/src/main/java/org/apache/flume/node/NodeManager.java;6;1;0;2;80;8;36;7;13.333333333333334;1.3333333333333333;88;953;183.16666666666666;2011-08-12;2012-03-08;29
flume-core/src/test/java/com/cloudera/flume/handlers/thrift/TestTStatsTransport.java;4;0;0;2;160;14;73;14;40.0;3.5;174;754;500.25;2011-08-02;2012-07-08;48
flume-ng-legacy-sources/flume-thrift-source/src/main/java/com/cloudera/flume/handlers/thrift/ThriftFlumeEventServer.java;12;0;0;5;2848;924;1020;260;237.33333333333334;77.0;3772;953;141.75;2012-02-06;2015-02-10;157
flume-ng-sinks/flume-ng-hbase-sink/src/main/java/org/apache/flume/sink/hbase/BatchAware.java;4;0;0;1;112;0;28;0;28.0;0.0;112;5;5.0;2014-03-03;2014-03-03;0
flume-ng-core/src/main/java/org/apache/flume/Channel.java;10;0;0;3;210;35;78;16;21.0;3.5;245;953;110.4;2011-08-30;2012-11-06;62
flume-ng-core/src/main/java/org/apache/flume/serialization/EventDeserializer.java;2;0;0;1;188;0;94;0;94.0;0.0;188;36;36.0;2012-12-19;2012-12-19;0
flume-shared/flume-shared-kafka-test/src/main/java/org/apache/flume/shared/kafka/test/KafkaPartitionTestUtil.java;1;0;0;1;213;0;213;0;213.0;0.0;213;16;16.0;2016-10-10;2016-10-10;0
